# #E, E1, M1
0.000000000000000000e+00 1.300438535269660691e-08 0.000000000000000000e+00
4.000000000000000083e-02 1.306555797772939688e-08 2.693984095967977588e-10
8.000000000000000167e-02 1.312692835169213212e-08 5.391775907371415999e-10
1.199999999999999956e-01 1.318869430991952344e-08 8.097202153698754632e-10
1.600000000000000033e-01 1.325105386061648147e-08 1.081412780769283210e-09
2.000000000000000111e-01 1.331420527144485199e-08 1.354647584095094360e-09
2.399999999999999911e-01 1.337834715629230475e-08 1.629824772962313492e-09
2.800000000000000266e-01 1.344367856228440509e-08 1.907354500321079070e-09
3.200000000000000067e-01 1.351039905710104333e-08 2.187659214642005112e-09
3.599999999999999867e-01 1.357870881665879402e-08 2.471176119976167504e-09
4.000000000000000222e-01 1.364880871322113765e-08 2.758359845065625623e-09
4.400000000000000022e-01 1.372090040399882493e-08 3.049685366525433518e-09
4.799999999999999822e-01 1.379518642030323943e-08 3.345651238471488167e-09
5.200000000000000178e-01 1.387187025731609743e-08 3.646783190183198211e-09
5.600000000000000533e-01 1.395115646453949232e-08 3.953638164927564209e-09
5.999999999999999778e-01 1.403325073699092920e-08 4.266808887536435166e-09
6.400000000000000133e-01 1.411836000720874176e-08 4.586929066517153749e-09
6.800000000000000488e-01 1.420669253813412044e-08 4.914679359440489939e-09
7.199999999999999734e-01 1.429845801693683783e-08 5.250794259488932015e-09
7.600000000000000089e-01 1.439386764985268381e-08 5.596070098238666250e-09
8.000000000000000444e-01 1.449313425810166013e-08 5.951374407523135760e-09
8.399999999999999689e-01 1.459647237495709257e-08 6.317656945031497194e-09
8.800000000000000044e-01 1.470409834403688269e-08 6.695962768863512815e-09
9.200000000000000400e-01 1.481623041888948566e-08 7.087447852146200027e-09
9.599999999999999645e-01 1.493308886394835440e-08 7.493397869178498414e-09
1.000000000000000000e+00 1.505489605693009495e-08 7.915250972341461612e-09
1.040000000000000036e+00 1.518187659275298489e-08 8.354625632638284601e-09
1.080000000000000071e+00 1.531425738905399837e-08 8.813354962795942166e-09
1.120000000000000107e+00 1.545226779338420383e-08 9.293529419105398131e-09
1.159999999999999920e+00 1.559613969216403801e-08 9.797550443682668719e-09
1.199999999999999956e+00 1.574610762148168404e-08 1.032819854768874768e-08
1.239999999999999991e+00 1.590240887981984902e-08 1.088872067658669353e-08
1.280000000000000027e+00 1.606528364279800362e-08 1.148294363658593500e-08
1.320000000000000062e+00 1.623497508001928005e-08 1.211542319939186230e-08
1.360000000000000098e+00 1.641172947411347185e-08 1.279164271227098608e-08
