# nld from continuum bins (incl fluctuations)
# E[MeV]	NLD[/MeV]
1.046	177.45
1.06291	0
1.07982	59.1502
1.09672	0
1.11363	295.751
1.13053	177.45
1.14744	236.601
1.16435	59.1502
1.18125	118.3
1.19816	118.3
1.21506	295.751
1.23197	59.1502
1.24888	59.1502
1.26578	118.3
1.28269	0
1.29959	59.1502
1.3165	0
1.33341	177.45
1.35031	118.3
1.36722	177.45
1.38413	354.901
1.40103	354.901
1.41794	532.351
1.43484	177.45
1.45175	118.3
1.46866	236.601
1.48556	118.3
1.50247	118.3
1.51937	236.601
1.53628	118.3
1.55319	118.3
1.57009	177.45
1.587	236.601
1.60391	236.601
1.62081	177.45
1.63772	177.45
1.65462	295.751
1.67153	177.45
1.68844	295.751
1.70534	532.351
1.72225	473.201
1.73915	532.351
1.75606	295.751
1.77297	414.051
1.78987	414.051
1.80678	236.601
1.82368	591.502
1.84059	354.901
1.8575	414.051
1.8744	887.252
1.89131	768.952
1.90822	946.403
1.92512	295.751
1.94203	650.652
1.95893	709.802
1.97584	650.652
1.99275	828.102
2.00965	473.201
2.02656	414.051
2.04346	768.952
2.06037	1064.7
2.07728	828.102
2.09418	946.403
2.11109	1242.15
2.128	1005.55
2.1449	1064.7
2.16181	1005.55
2.17871	946.403
2.19562	1005.55
2.21253	828.102
2.22943	828.102
2.24634	1301.3
2.26324	1656.2
2.28015	1478.75
2.29706	1242.15
2.31396	1597.05
2.33087	1419.6
2.34777	1478.75
2.36468	2188.56
2.38159	2247.71
2.39849	1833.65
2.4154	1951.96
2.43231	2188.56
2.44921	2247.71
2.46612	2366.01
2.48302	2366.01
2.49993	2366.01
2.51684	2306.86
2.53374	2898.36
2.55065	2898.36
2.56755	3016.66
2.58446	3726.46
2.60137	3608.16
2.61827	3075.81
2.63518	3016.66
2.65208	3549.01
2.66899	3726.46
2.6859	3489.86
2.7028	4377.11
2.71971	4850.31
2.73662	5146.06
2.75352	3903.91
2.77043	5264.36
2.78733	5619.27
2.80424	4436.26
2.82115	4258.81
2.83805	4317.96
2.85496	5441.81
2.87186	5796.72
2.88877	5264.36
2.90568	7038.87
2.92258	6210.77
2.93949	7038.87
2.9564	8458.47
2.9733	7216.32
2.99021	8813.37
3.00711	9109.12
3.02402	9464.03
3.04093	8990.82
3.05783	9227.42
3.07474	11061.1
3.09164	9286.58
3.10855	10173.8
3.12546	11416
3.14236	10233
3.15927	11120.2
3.17617	13663.7
3.19308	12599
3.20999	11652.6
3.22689	14255.2
3.2438	14787.5
3.26071	14373.5
3.27761	16384.6
3.29452	18040.8
3.31142	15497.3
3.32833	14965
3.34524	18868.9
3.36214	20939.2
3.37905	22181.3
3.39595	20111.1
3.41286	20998.3
3.42977	20761.7
3.44667	22891.1
3.46358	22595.4
3.48049	25434.6
3.49739	22950.3
3.5143	26676.7
3.5312	26795
3.54811	27800.6
3.56502	29693.4
3.58192	32118.5
3.59883	34011.3
3.61573	36022.4
3.63264	34543.7
3.64955	38506.8
3.66645	38861.7
3.68336	41405.1
3.70026	42351.5
3.71717	43120.5
3.73408	48207.4
3.75098	45723.1
3.76789	49567.8
3.7848	49922.7
3.8017	54181.5
3.81861	55660.3
3.83551	58677
3.85242	58262.9
3.86933	60510.6
3.88623	65597.5
3.90314	70270.4
3.92004	70507
3.93695	75357.3
3.95386	75712.2
3.97076	76244.6
3.98767	81035.7
4.00457	85826.9
4.02148	90381.4
4.03839	92806.6
4.05529	97656.9
4.0722	96237.3
4.08911	104814
4.10601	104282
4.12292	117117
4.13982	122027
4.15673	121613
4.17364	127587
4.19054	137820
4.20745	135336
4.22435	140659
4.24126	151720
4.25817	150715
4.27507	155802
4.29198	170352
4.30889	176563
4.32579	185850
4.3427	184134
4.3596	201702
4.37651	198567
4.39342	216371
4.41032	214656
4.42723	231691
4.44413	233880
4.46104	249969
4.47795	257658
4.49485	275758
4.51176	277533
4.52866	302198
4.54557	308823
4.56248	322309
4.57938	335441
4.59629	340646
4.6132	350997
4.6301	368151
4.64701	383589
4.66391	408846
4.68082	416890
4.69773	430258
4.71463	449719
4.73154	468233
4.74844	491834
4.76535	511057
4.78226	522828
4.79916	558910
4.81607	565771
4.83298	598245
4.84988	624389
4.86679	657691
4.88369	665144
4.9006	701462
4.91751	731333
4.93441	766882
4.95132	787644
4.96822	824080
4.98513	869034
5.00204	886661
5.01894	921678
5.03585	962373
5.05275	996207
5.06966	1.04098e+06
5.08657	1.086e+06
5.10347	1.1287e+06
5.12038	1.16561e+06
5.13729	1.21382e+06
5.15419	1.26629e+06
5.1711	1.32313e+06
5.188	1.37347e+06
5.20491	1.43847e+06
5.22182	1.50443e+06
5.23872	1.56156e+06
5.25563	1.60368e+06
5.27253	1.67986e+06
5.28944	1.73866e+06
5.30635	1.83247e+06
5.32325	1.87654e+06
5.34016	1.9752e+06
5.35706	2.05925e+06
5.37397	2.14402e+06
5.39088	2.20778e+06
5.40778	2.3236e+06
5.42469	2.40256e+06
5.4416	2.48549e+06
5.4585	2.59717e+06
5.47541	2.71026e+06
5.49231	2.83306e+06
5.50922	2.93142e+06
5.52613	3.05806e+06
5.54303	3.19494e+06
5.55994	3.27858e+06
5.57684	3.41758e+06
5.59375	3.56498e+06
5.61066	3.74355e+06
5.62756	3.84931e+06
5.64447	4.03735e+06
5.66138	4.20635e+06
5.67828	4.37546e+06
5.69519	4.52783e+06
5.71209	4.72775e+06
5.729	4.92928e+06
5.74591	5.13068e+06
5.76281	5.3276e+06
5.77972	5.51782e+06
5.79662	5.76708e+06
5.81353	5.98481e+06
5.83044	6.23058e+06
5.84734	6.48505e+06
5.86425	6.75116e+06
5.88115	7.03449e+06
5.89806	7.32173e+06
5.91497	7.64752e+06
5.93187	7.91766e+06
5.94878	8.23128e+06
5.96569	8.58328e+06
5.98259	8.9144e+06
5.9995	9.27877e+06
6.0164	9.66454e+06
6.03331	1.00317e+07
6.05022	1.04845e+07
6.06712	1.09501e+07
6.08403	1.13513e+07
6.10093	1.18355e+07
6.11784	1.2223e+07
6.13475	1.27822e+07
6.15165	1.32655e+07
6.16856	1.37944e+07
6.18547	1.44279e+07
6.20237	1.50188e+07
6.21928	1.56304e+07
6.23618	1.62658e+07
6.25309	1.68786e+07
6.27	1.76038e+07
6.2869	1.82633e+07
6.30381	1.90459e+07
6.32071	1.97782e+07
6.33762	2.05358e+07
6.35453	2.14429e+07
6.37143	2.23217e+07
6.38834	2.31477e+07
6.40524	2.40914e+07
6.42215	2.50891e+07
6.43906	2.61112e+07
